Filename,Description,Keywords,Categories,Editorial,Mature content
concept_01.jpg,"A group of diverse business professionals seated around a conference table engaged in a discussion, with laptops and notes in a modern office setting.","business, team, meeting, diverse, office, conference, room, discussion, professional, collaboration, technology, laptops, notes, modern, cityscape, window, furniture, wooden, table","Business/Finance, People",no,no
concept_02.jpg,"An active senior woman wearing hiking gear and walking alone on a scenic hiking trail, surrounded by nature and wildflowers, under a clear blue sky.","senior, woman, hiking, outdoors, active, nature, trail, wildflowers, scenic, adventure, alone, greenery, mountains, sky, blue, clear","People, Environment/Conservation",no,no
concept_03.jpg,"A bowl of fresh fruit salad with a variety of fruits, such as strawberries, blueberries, and bananas, on a wooden table, with a glass of juice and a pastry in the background.","fruit, salad, breakfast, healthy, fresh, colorful, appetizing, wooden, table, juice, pastry, variety, natural, cozy","Food, Still Life",no,no
concept_04.jpg,"A young programmer sitting at a desk with a laptop, typing code with intensity, in a modern and minimalist setting, with a cityscape outside the window.","programmer, coding, laptop, young, intense, focused, modern, minimalist, cityscape, window, books, programming","Business/Finance, Technology",no,no
concept_05.jpg,"A serene and breathtaking image of a sunset over a vast landscape, with warm colors and soft lighting, and a few trees in the foreground, with a distant mountain range.","sunset, landscape, mountain, serene, breathtaking, warm, colors, soft, lighting, tranquility, trees, foreground, distant","Environment/Conservation, Landscapes",no,no
concept_06.jpg,"A diverse group of friends from different ethnicities and age groups, laughing and having fun together, in a casual outdoor setting, such as a city park or backyard.","diverse, group, friends, laughing, joyful, vibrant, bright, colors, natural, lighting, camaraderie, city, park, backyard, outdoor","People, Lifestyles",no,no
concept_07.jpg,"A woman sitting in a peaceful natural setting, such as a forest or a beach, with her eyes closed, and a calm expression, surrounded by nature and soft lighting.","woman, meditating, nature, peaceful, serene, soft, lighting, calm, forest, beach, trees, rocks, background","People, Wellness",no,no
concept_08.jpg,"A remote worker sitting at a desk with a laptop, in a home office or a coffee shop, with a cup of coffee and a few books or plants in the background, in a modern and cozy setting.","remote, worker, laptop, coffee, home, office, cozy, modern, soft, lighting, productive, books, plants, background","Business/Finance, Technology",no,no
concept_09.jpg,"A traveler standing in front of a cityscape, with a backpack and a map, looking excited and adventurous, in a vibrant and dynamic setting, with a few skyscrapers or landmarks in the background.","traveler, backpack, cityscape, vibrant, exciting, bright, colors, natural, lighting, adventure, skyscrapers, landmarks, background","Travel, Landmarks",no,no
concept_10.jpg,"A diverse family gathering around a table, with a variety of dishes, and a few decorations or flowers in the background, in a warm and cozy setting, celebrating a holiday together.","diverse, family, holiday, dinner, gather, together, warm, joyful, various, dishes, soft, lighting, decorations, flowers, background","People, Lifestyles",no,no
