Filename,Title,Keywords,Category,Releases
concept_01.jpg,Diverse Team Collaboration Meeting,"diverse team, meeting room, collaboration, conference room, modern office, professional, business, corporate, teamwork, communication, leadership, strategy, innovation, technology, laptops, notebooks, green plants, screen display, architecture, interior design, workplace, employees, colleagues",3,no
concept_02.jpg,Woman Meditating in Nature,"meditation, outdoor, nature, woman, serene, peaceful, relaxation, wellness, self-care, mindfulness, yoga, forest, rocks, trees, stream, misty, atmosphere, calm, soothing, healthy, lifestyle, balance, harmony",6,no
concept_03.jpg,Healthy Breakfast with Fresh Fruit,"breakfast, fresh fruit, orange juice, healthy, food, drink, kitchen, modern, minimalist, colorful, vibrant, inviting, morning, meal, nutrition, wellness, lifestyle, dining, table, utensils, plate, napkin",7,no
concept_04.jpg,Cyber Security Expert at Work,"cyber security, expert, computer, modern office, high-tech, equipment, screens, cables, keyboard, dark, moody, intense, futuristic, technology, innovation, protection, safety, data, network, hacking, threats, security",19,no
concept_05.jpg,Serene Sunset Landscape,"sunset, landscape, nature, environment, serene, peaceful, warm, golden, soft, breathtaking, vast, horizon, rolling hills, trees, rocks, lake, distance, atmosphere, calm, soothing, outdoor, scenic",11,no
concept_06.jpg,Diverse Group of Friends Laughing,"diverse group, friends, laughing, urban park, green grass, benches, trees, walking path, lively, joyful, warm, natural, vibrant, happy, inclusion, diversity, equality, friendship, community, social, outdoor, recreational",13,no
concept_07.jpg,Woman Practicing Yoga in Nature,"yoga, outdoor, woman, peaceful, serene, nature, calm, relaxation, wellness, self-care, mindfulness, meditation, exercise, fitness, health, lifestyle, balance, harmony, outdoor, recreational",6,no
concept_08.jpg,Man Working Remotely from Coffee Shop,"remote work, coffee shop, man, laptop, coffee cup, notebook, small table, modern, bustling, warm, cozy, vibrant, busy, work, office, digital, nomad, flexible, freelance, online, business",3,no
concept_09.jpg,Diverse Team Brainstorming Session,"diverse team, brainstorming session, creative, innovative, whiteboard, markers, sticky notes, wall, bright, airy, modern, energetic, work, office, collaboration, idea, solution, problem, solving, meeting, conference",3,no
concept_10.jpg,Person Using Virtual Reality Headset,"virtual reality, headset, person, futuristic, immersive, cool blue, high-tech, modern laboratory, computer screens, equipment, innovation, technology, gaming, simulation, education, training, development, future, trend",19,no
